明るみに出る　　　　　　　　　　　　　　あかるみにでる　　　　　　　　　　　　　,D 1.     ,
赤を入れる　　　　　　　　　　　　　　　あかをいれる　　　　　　　　　　　　　　,D 1.     ,
赤ん坊を取り上げる　　　　　　　　　　　あかんぼうをとりあげる　　　　　　　　　,D 1.     ,
飽きが来る　　　　　　　　　　　　　　　あきがくる　　　　　　　　　　　　　　　,D 3.  N  ,
秋風が立つ　　　　　　　　　　　　　　　あきかぜがたつ　　　　　　　　　　　　　,D T.     ,
秋風が吹く　　　　　　　　　　　　　　　あきかぜがふく　　　　　　　　　　　　　,D K.     ,
空き過ぎる　　　　　　　　　　　　　　　あきすぎる　　　　　　　　　　　　　　　,D 1.  N  ,
諦めが付く　　　　　　　　　　　　　　　あきらめがつく　　　　　　　　　　　　　,D K.  P  ,
あきれ返る　　　　　　　　　　　　　　　あきれかえる　　　　　　　　　　　　　　,D R.  NM ,
悪意に取る　　　　　　　　　　　　　　　あくいにとる　　　　　　　　　　　　　　,D R.  N  ,
悪意に満ちる　　　　　　　　　　　　　　あくいにみちる　　　　　　　　　　　　　,D 1.  N  ,
悪意を抱く　　　　　　　　　　　　　　　あくいをいだく　　　　　　　　　　　　　,D K.  N  ,
悪運が尽きる　　　　　　　　　　　　　　あくうんがつきる　　　　　　　　　　　　,D 1.  N  ,
悪運尽きる　　　　　　　　　　　　　　　あくうんつきる　　　　　　　　　　　　　,D 1.   M ,
あくが抜ける　　　　　　　　　　　　　　あくがぬける　　　　　　　　　　　　　　,D 1.  P  ,
悪事千里を走る　　　　　　　　　　　　　あくじせんりをはしる　　　　　　　　　　,D R.  N  ,
悪臭を放つ　　　　　　　　　　　　　　　あくしゅうをはなつ　　　　　　　　　　　,D T.  N  ,
握手を交わす　　　　　　　　　　　　　　あくしゅをかわす　　　　　　　　　　　　,D S.  P  ,
握手を求める　　　　　　　　　　　　　　あくしゅをもとめる　　　　　　　　　　　,D 1.     ,
悪循環に陥る　　　　　　　　　　　　　　あくじゅんかんにおちいる　　　　　　　　,D R.  N  ,
悪事を重ねる　　　　　　　　　　　　　　あくじをかさねる　　　　　　　　　　　　,D 1.  N  ,
悪事を成す　　　　　　　　　　　　　　　あくじをなす　　　　　　　　　　　　　　,D S.  N  ,
悪事を働く　　　　　　　　　　　　　　　あくじをはたらく　　　　　　　　　　　　,D K.  N  ,
アクセントが下がる　　　　　　　　　　　あくせんとがさがる　　　　　　　　　　　,D R.     ,
アクセントを置く　　　　　　　　　　　　あくせんとをおく　　　　　　　　　　　　,D K.     ,
アクセントを下げる　　　　　　　　　　　あくせんとをさげる　　　　　　　　　　　,D 1.     ,
悪態をつく　　　　　　　　　　　　　　　あくたいをつく　　　　　　　　　　　　　,D K.  NI ,
悪に染まる　　　　　　　　　　　　　　　あくにそまる　　　　　　　　　　　　　　,D R.  N  ,
あぐねる　　　　　　　　　　　　　　　　あぐねる　　　　　　　　　　　　　　　　,D 1.  NM ,
悪の芽を摘む　　　　　　　　　　　　　　あくのめをつむ　　　　　　　　　　　　　,D M.  P  ,
あくびが出る　　　　　　　　　　　　　　あくびがでる　　　　　　　　　　　　　　,D 1.  N  ,
あくびをかみ殺す　　　　　　　　　　　　あくびをかみころす　　　　　　　　　　　,D S.     ,
あくびを誘う　　　　　　　　　　　　　　あくびをさそう　　　　　　　　　　　　　,D W.  N  ,
悪風に染まる　　　　　　　　　　　　　　あくふうにそまる　　　　　　　　　　　　,D R.  N  ,
悪夢からさめる　　　　　　　　　　　　　あくむからさめる　　　　　　　　　　　　,D 1.  P  ,
悪夢にうなされる　　　　　　　　　　　　あくむにうなされる　　　　　　　　　　　,D 1.  N  ,
悪名がとどろく　　　　　　　　　　　　　あくめいがとどろく　　　　　　　　　　　,D K.  N  ,
胡座をかく　　　　　　　　　　　　　　　あぐらをかく　　　　　　　　　　　　　　,D K.     ,
あぐらを組む　　　　　　　　　　　　　　あぐらをくむ　　　　　　　　　　　　　　,D M.     ,
悪を成す　　　　　　　　　　　　　　　　あくをなす　　　　　　　　　　　　　　　,D S.  N  ,
あくを抜かれる　　　　　　　　　　　　　あくをぬかれる　　　　　　　　　　　　　,D 1.  PM ,
あくを抜く　　　　　　　　　　　　　　　あくをぬく　　　　　　　　　　　　　　　,D K.  P  ,
揚げ足を取る　　　　　　　　　　　　　　あげあしをとる　　　　　　　　　　　　　,D R.  N  ,
明けきる　　　　　　　　　　　　　　　　あけきる　　　　　　　　　　　　　　　　,D R.  PM ,
明け暮れる　　　　　　　　　　　　　　　あけくれる　　　　　　　　　　　　　　　,D 1.     ,
上げ潮に乗る　　　　　　　　　　　　　　あげしおにのる　　　　　　　　　　　　　,D R.  P  ,
明け初める　　　　　　　　　　　　　　　あけそめる　　　　　　　　　　　　　　　,D 1.   M ,
開けっ放す　　　　　　　　　　　　　　　あけっぱなす　　　　　　　　　　　　　　,D S.   I ,
あげつらう　　　　　　　　　　　　　　　あげつらう　　　　　　　　　　　　　　　,D W.  NI ,
上げ止まる　　　　　　　　　　　　　　　あげどまる　　　　　　　　　　　　　　　,D R.   I ,
朱に染まる　　　　　　　　　　　　　　　あけにそまる　　　　　　　　　　　　　　,D R.     ,
開け放す　　　　　　　　　　　　　　　　あけはなす　　　　　　　　　　　　　　　,D S.   I ,
開け放つ　　　　　　　　　　　　　　　　あけはなつ　　　　　　　　　　　　　　　,D T.   I ,
明け放れる　　　　　　　　　　　　　　　あけはなれる　　　　　　　　　　　　　　,D 1.   M ,
開け払う　　　　　　　　　　　　　　　　あけはらう　　　　　　　　　　　　　　　,D W.   I ,
開け広げる　　　　　　　　　　　　　　　あけひろげる　　　　　　　　　　　　　　,D 1.   I ,
明け渡す　　　　　　　　　　　　　　　　あけわたす　　　　　　　　　　　　　　　,D S.   I ,
顎が落ちる　　　　　　　　　　　　　　　あごがおちる　　　　　　　　　　　　　　,D 1.  P  ,
顎が出る　　　　　　　　　　　　　　　　あごがでる　　　　　　　　　　　　　　　,D 1.     ,
顎が外れる　　　　　　　　　　　　　　　あごがはずれる　　　　　　　　　　　　　,D 1.  N  ,
顎が張る　　　　　　　　　　　　　　　　あごがはる　　　　　　　　　　　　　　　,D R.     ,
顎が干上がる　　　　　　　　　　　　　　あごがひあがる　　　　　　　　　　　　　,D R.  N  ,
憧れを抱く　　　　　　　　　　　　　　　あこがれをいだく　　　　　　　　　　　　,D K.  P  ,
顎で使う　　　　　　　　　　　　　　　　あごでつかう　　　　　　　　　　　　　　,D W.  N  ,
顎の張る　　　　　　　　　　　　　　　　あごのはる　　　　　　　　　　　　　　　,D R.     ,
顎をしゃくる　　　　　　　　　　　　　　あごをしゃくる　　　　　　　　　　　　　,D R.     ,
顎を出す　　　　　　　　　　　　　　　　あごをだす　　　　　　　　　　　　　　　,D S.     ,
顎を外す　　　　　　　　　　　　　　　　あごをはずす　　　　　　　　　　　　　　,D S.     ,
あざけり罵る　　　　　　　　　　　　　　あざけりののしる　　　　　　　　　　　　,D R.  NI ,
あざける　　　　　　　　　　　　　　　　あざける　　　　　　　　　　　　　　　　,D R.  NI ,
あざ笑う　　　　　　　　　　　　　　　　あざわらう　　　　　　　　　　　　　　　,D W.  NI ,
足音を忍ばせる　　　　　　　　　　　　　あしおとをしのばせる　　　　　　　　　　,D 1.     ,
足がある　　　　　　　　　　　　　　　　あしがある　　　　　　　　　　　　　　　,D R.     ,
味が生きる　　　　　　　　　　　　　　　あじがいきる　　　　　　　　　　　　　　,D 1.     ,
足が奪われる　　　　　　　　　　　　　　あしがうばわれる　　　　　　　　　　　　,D 1.  N  ,
足がすくむ　　　　　　　　　　　　　　　あしがすくむ　　　　　　　　　　　　　　,D M.  N  ,
足が滑る　　　　　　　　　　　　　　　　あしがすべる　　　　　　　　　　　　　　,D R.  N  ,
足かせになる　　　　　　　　　　　　　　あしかせになる　　　　　　　　　　　　　,D R.  N  ,
足かせをはめる　　　　　　　　　　　　　あしかせをはめる　　　　　　　　　　　　,D 1.  N  ,
足が地に着く　　　　　　　　　　　　　　あしがちにつく　　　　　　　　　　　　　,D K.  P  ,
足が付く　　　　　　　　　　　　　　　　あしがつく　　　　　　　　　　　　　　　,D K.  N  ,
足が出る　　　　　　　　　　　　　　　　あしがでる　　　　　　　　　　　　　　　,D 1.  N  ,
足が遠のく　　　　　　　　　　　　　　　あしがとおのく　　　　　　　　　　　　　,D K.  N  ,
足が止まる　　　　　　　　　　　　　　　あしがとまる　　　　　　　　　　　　　　,D R.  N  ,
足が棒になる　　　　　　　　　　　　　　あしがぼうになる　　　　　　　　　　　　,D R.  N  ,
足が乱れる　　　　　　　　　　　　　　　あしがみだれる　　　　　　　　　　　　　,D 1.  N  ,
足が向く　　　　　　　　　　　　　　　　あしがむく　　　　　　　　　　　　　　　,D K.     ,
明日は明日の風が吹く　　　　　　　　　　あしたはあしたのかぜがふく　　　　　　　,D K.     ,
足駄を履く　　　　　　　　　　　　　　　あしだをはく　　　　　　　　　　　　　　,D K.     ,
足で稼ぐ　　　　　　　　　　　　　　　　あしでかせぐ　　　　　　　　　　　　　　,D G.     ,
足止めを食う　　　　　　　　　　　　　　あしどめをくう　　　　　　　　　　　　　,D W.  N  ,
味なことをやる　　　　　　　　　　　　　あじなことをやる　　　　　　　　　　　　,D R.  P  ,
足並みがそろう　　　　　　　　　　　　　あしなみがそろう　　　　　　　　　　　　,D W.  P  ,
足並みが乱れる　　　　　　　　　　　　　あしなみがみだれる　　　　　　　　　　　,D 1.  N  ,
足並みをそろえる　　　　　　　　　　　　あしなみをそろえる　　　　　　　　　　　,D 1.  P  ,
足に根が生える　　　　　　　　　　　　　あしにねがはえる　　　　　　　　　　　　,D 1.  N  ,
足に任せる　　　　　　　　　　　　　　　あしにまかせる　　　　　　　　　　　　　,D 1.     ,
足場を失う　　　　　　　　　　　　　　　あしばをうしなう　　　　　　　　　　　　,D W.  N  ,
足場を固める　　　　　　　　　　　　　　あしばをかためる　　　　　　　　　　　　,D 1.  P  ,
足元から鳥が立つ　　　　　　　　　　　　あしもとからとりがたつ　　　　　　　　　,D T.     ,
足下に付け込む　　　　　　　　　　　　　あしもとにつけこむ　　　　　　　　　　　,D M.  N  ,
足元に火が付く　　　　　　　　　　　　　あしもとにひがつく　　　　　　　　　　　,D K.  N  ,
足元にも及ばない　　　　　　　　　　　　あしもとにもおよばない　　　　　　　　　,D 7.  N  ,
足元を固める　　　　　　　　　　　　　　あしもとをかためる　　　　　　　　　　　,D 1.  P  ,
足元を見る　　　　　　　　　　　　　　　あしもとをみる　　　　　　　　　　　　　,D 1.  N  ,
足を洗う　　　　　　　　　　　　　　　　あしをあらう　　　　　　　　　　　　　　,D W.  P  ,
味を生かす　　　　　　　　　　　　　　　あじをいかす　　　　　　　　　　　　　　,D S.  P  ,
足を入れる　　　　　　　　　　　　　　　あしをいれる　　　　　　　　　　　　　　,D 1.     ,
足を奪う　　　　　　　　　　　　　　　　あしをうばう　　　　　　　　　　　　　　,D W.  N  ,
足を奪われる　　　　　　　　　　　　　　あしをうばわれる　　　　　　　　　　　　,D 1.  N  ,
味を覚える　　　　　　　　　　　　　　　あじをおぼえる　　　　　　　　　　　　　,D 1.     ,
足を重ねて立つ　　　　　　　　　　　　　あしをかさねてたつ　　　　　　　　　　　,D T.     ,
足を崩す　　　　　　　　　　　　　　　　あしをくずす　　　　　　　　　　　　　　,D S.     ,
足を組む　　　　　　　　　　　　　　　　あしをくむ　　　　　　　　　　　　　　　,D M.     ,
味を殺す　　　　　　　　　　　　　　　　あじをころす　　　　　　　　　　　　　　,D S.  N  ,
味を締める　　　　　　　　　　　　　　　あじをしめる　　　　　　　　　　　　　　,D 1.     ,
足をすくう　　　　　　　　　　　　　　　あしをすくう　　　　　　　　　　　　　　,D W.  N  ,
足をすべらせる　　　　　　　　　　　　　あしをすべらせる　　　　　　　　　　　　,D 1.  N  ,
足をその場にとどめる　　　　　　　　　　あしをそのばにとどめる　　　　　　　　　,D 1.     ,
足を出す　　　　　　　　　　　　　　　　あしをだす　　　　　　　　　　　　　　　,D S.     ,
味を調える　　　　　　　　　　　　　　　あじをととのえる　　　　　　　　　　　　,D 1.  P  ,
足を止める　　　　　　　　　　　　　　　あしをとめる　　　　　　　　　　　　　　,D 1.     ,
足を取られる　　　　　　　　　　　　　　あしをとられる　　　　　　　　　　　　　,D 1.  N  ,
足を抜く　　　　　　　　　　　　　　　　あしをぬく　　　　　　　　　　　　　　　,D K.     ,
足を延ばす　　　　　　　　　　　　　　　あしをのばす　　　　　　　　　　　　　　,D S.     ,
足を運ぶ　　　　　　　　　　　　　　　　あしをはこぶ　　　　　　　　　　　　　　,D B.     ,
足を払う　　　　　　　　　　　　　　　　あしをはらう　　　　　　　　　　　　　　,D W.     ,
