ああ言う　　　　　　　　　　　　　　　　ああいう　　　　　　　　　　　　　　　　,R  .     ,
相続く　　　　　　　　　　　　　　　　　あいつづく　　　　　　　　　　　　　　　,D K.   M ,
相手する　　　　　　　　　　　　　　　　あいてする　　　　　　　　　　　　　　　,D 4.   I ,
相手にする　　　　　　　　　　　　　　　あいてにする　　　　　　　　　　　　　　,D 4.     ,
相手になる　　　　　　　　　　　　　　　あいてになる　　　　　　　　　　　　　　,D R.     ,
相照らす　　　　　　　　　　　　　　　　あいてらす　　　　　　　　　　　　　　　,D S.   M ,
相手を上げる　　　　　　　　　　　　　　あいてをあげる　　　　　　　　　　　　　,D 1.     ,
哀悼する　　　　　　　　　　　　　　　　あいとうする　　　　　　　　　　　　　　,D 4.   I ,
愛読する　　　　　　　　　　　　　　　　あいどくする　　　　　　　　　　　　　　,D 4.   I ,
相伴う　　　　　　　　　　　　　　　　　あいともなう　　　　　　　　　　　　　　,D W.   I ,
アイドリングする　　　　　　　　　　　　あいどりんぐする　　　　　　　　　　　　,D 4.   I ,
相半ばする　　　　　　　　　　　　　　　あいなかばする　　　　　　　　　　　　　,D 4.   M ,
相乗りする　　　　　　　　　　　　　　　あいのりする　　　　　　　　　　　　　　,D 4.   I ,
相食む　　　　　　　　　　　　　　　　　あいはむ　　　　　　　　　　　　　　　　,D M.     ,
相反する　　　　　　　　　　　　　　　　あいはんする　　　　　　　　　　　　　　,D 4.   M ,
相反目する　　　　　　　　　　　　　　　あいはんもくする　　　　　　　　　　　　,D 4.  NM ,
逢引する　　　　　　　　　　　　　　　　あいびきする　　　　　　　　　　　　　　,D 4.   I ,
愛慕する　　　　　　　　　　　　　　　　あいぼする　　　　　　　　　　　　　　　,D 4.  PI ,
相まつ　　　　　　　　　　　　　　　　　あいまつ　　　　　　　　　　　　　　　　,D T.     ,
相乱れる　　　　　　　　　　　　　　　　あいみだれる　　　　　　　　　　　　　　,D 1.   M ,
愛用する　　　　　　　　　　　　　　　　あいようする　　　　　　　　　　　　　　,D 4.  PI ,
相和す　　　　　　　　　　　　　　　　　あいわす　　　　　　　　　　　　　　　　,D S.   M ,
合う　　　　　　　　　　　　　　　　　　あう　　　　　　　　　　　　　　　　　　,D W.   M ,
遇う　　　　　　　　　　　　　　　　　　あう　　　　　　　　　　　　　　　　　　,D W.   M ,
会う　　　　　　　　　　　　　　　　　　あう　　　　　　　　　　　　　　　　　　,D W.   I ,
アウトソーシングする　　　　　　　　　　あうとそーしんぐする　　　　　　　　　　,D 4.     ,
アウトプットする　　　　　　　　　　　　あうとぷっとする　　　　　　　　　　　　,D 4.   I ,
和える　　　　　　　　　　　　　　　　　あえる　　　　　　　　　　　　　　　　　,D 1.   I ,
仰ぎ見る　　　　　　　　　　　　　　　　あおぎみる　　　　　　　　　　　　　　　,D 1.   I ,
仰ぐ　　　　　　　　　　　　　　　　　　あおぐ　　　　　　　　　　　　　　　　　,D G.   I ,
あおぐ　　　　　　　　　　　　　　　　　あおぐ　　　　　　　　　　　　　　　　　,D G.   I ,
青くなる　　　　　　　　　　　　　　　　あおくなる　　　　　　　　　　　　　　　,D R.  N  ,
青ざめる　　　　　　　　　　　　　　　　あおざめる　　　　　　　　　　　　　　　,D 1.  NM ,
青ずむ　　　　　　　　　　　　　　　　　あおずむ　　　　　　　　　　　　　　　　,D M.   M ,
青田買いする　　　　　　　　　　　　　　あおたがいする　　　　　　　　　　　　　,D 4.   I ,
青ばむ　　　　　　　　　　　　　　　　　あおばむ　　　　　　　　　　　　　　　　,D M.     ,
青光りする　　　　　　　　　　　　　　　あおびかりする　　　　　　　　　　　　　,D 4.   M ,
青み掛かる　　　　　　　　　　　　　　　あおみがかる　　　　　　　　　　　　　　,D R.   M ,
あお向く　　　　　　　　　　　　　　　　あおむく　　　　　　　　　　　　　　　　,D K.   I ,
あお向ける　　　　　　　　　　　　　　　あおむける　　　　　　　　　　　　　　　,D 1.   I ,
