ああ言う　　　　　　　　　　　　　　　　ああいう　　　　　　　　　　　　　　　　,R  .     ,
誤称する　　　　　　　　　　　　　　　　ごしょうする　　　　　　　　　　　　　　,D 4.  N  ,
ご承知おきする　　　　　　　　　　　　　ごしょうちおきする　　　　　　　　　　　,D 4.     ,
ご笑読する　　　　　　　　　　　　　　　ごしょうどくする　　　　　　　　　　　　,D 4.  P  ,
ご笑納する　　　　　　　　　　　　　　　ごしょうのうする　　　　　　　　　　　　,D 4.  PI ,
ご笑味する　　　　　　　　　　　　　　　ごしょうみする　　　　　　　　　　　　　,D 4.   M ,
ご笑覧する　　　　　　　　　　　　　　　ごしょうらんする　　　　　　　　　　　　,D 4.   M ,
古色を帯びる　　　　　　　　　　　　　　こしょくをおびる　　　　　　　　　　　　,D 1.     ,
こしらえる　　　　　　　　　　　　　　　こしらえる　　　　　　　　　　　　　　　,D 1.   I ,
こじらす　　　　　　　　　　　　　　　　こじらす　　　　　　　　　　　　　　　　,D S.  NI ,
こじり開ける　　　　　　　　　　　　　　こじりあける　　　　　　　　　　　　　　,D 1.   I ,
こじる　　　　　　　　　　　　　　　　　こじる　　　　　　　　　　　　　　　　　,D R.   I ,
こじれる　　　　　　　　　　　　　　　　こじれる　　　　　　　　　　　　　　　　,D 1.  NM ,
腰を上げる　　　　　　　　　　　　　　　こしをあげる　　　　　　　　　　　　　　,D 1.     ,
腰を入れる　　　　　　　　　　　　　　　こしをいれる　　　　　　　　　　　　　　,D 1.  P  ,
腰をうかす　　　　　　　　　　　　　　　こしをうかす　　　　　　　　　　　　　　,D S.     ,
腰を浮かせる　　　　　　　　　　　　　　こしをうかせる　　　　　　　　　　　　　,D 1.     ,
腰を落ち着ける　　　　　　　　　　　　　こしをおちつける　　　　　　　　　　　　,D 1.  P  ,
腰を折る　　　　　　　　　　　　　　　　こしをおる　　　　　　　　　　　　　　　,D R.  N  ,
腰を下ろす　　　　　　　　　　　　　　　こしをおろす　　　　　　　　　　　　　　,D S.     ,
腰をすえかねる　　　　　　　　　　　　　こしをすえかねる　　　　　　　　　　　　,D 1.  N  ,
腰を据える　　　　　　　　　　　　　　　こしをすえる　　　　　　　　　　　　　　,D 1.  P  ,
腰を抜かす　　　　　　　　　　　　　　　こしをぬかす　　　　　　　　　　　　　　,D S.  N  ,
腰を引く　　　　　　　　　　　　　　　　こしをひく　　　　　　　　　　　　　　　,D K.     ,
腰を低くする　　　　　　　　　　　　　　こしをひくくする　　　　　　　　　　　　,D 5.     ,
腰を割る　　　　　　　　　　　　　　　　こしをわる　　　　　　　　　　　　　　　,D R.     ,
誤診する　　　　　　　　　　　　　　　　ごしんする　　　　　　　　　　　　　　　,D 4.  NM ,
誤審する　　　　　　　　　　　　　　　　ごしんする　　　　　　　　　　　　　　　,D 4.  NM ,
誤信する　　　　　　　　　　　　　　　　ごしんする　　　　　　　　　　　　　　　,D 4.  NM ,
超す　　　　　　　　　　　　　　　　　　こす　　　　　　　　　　　　　　　　　　,D S.   M ,
越す　　　　　　　　　　　　　　　　　　こす　　　　　　　　　　　　　　　　　　,D S.   I ,
こす　　　　　　　　　　　　　　　　　　こす　　　　　　　　　　　　　　　　　　,D S.   I ,
戸数割りする　　　　　　　　　　　　　　こすうわりする　　　　　　　　　　　　　,D 4.   I ,
コスト割れする　　　　　　　　　　　　　こすとわれする　　　　　　　　　　　　　,D 4.  NM ,
コスプレする　　　　　　　　　　　　　　こすぷれする　　　　　　　　　　　　　　,D 4.   I ,
こすり洗いする　　　　　　　　　　　　　こすりあらいする　　　　　　　　　　　　,D 4.     ,
こする　　　　　　　　　　　　　　　　　こする　　　　　　　　　　　　　　　　　,D R.   I ,
ごする　　　　　　　　　　　　　　　　　ごする　　　　　　　　　　　　　　　　　,D 5.   I ,
こすれる　　　　　　　　　　　　　　　　こすれる　　　　　　　　　　　　　　　　,D 1.   M ,
個性化する　　　　　　　　　　　　　　　こせいかする　　　　　　　　　　　　　　,D 4.   M ,
ご盛観する　　　　　　　　　　　　　　　ごせいかんする　　　　　　　　　　　　　,D 4.  PI ,
ご清聴する　　　　　　　　　　　　　　　ごせいちょうする　　　　　　　　　　　　,D 4.     ,
孤絶する　　　　　　　　　　　　　　　　こぜつする　　　　　　　　　　　　　　　,D 4.   M ,
小競り合いする　　　　　　　　　　　　　こぜりあいする　　　　　　　　　　　　　,D 4.  NM ,
互選する　　　　　　　　　　　　　　　　ごせんする　　　　　　　　　　　　　　　,D 4.   I ,
誤操作する　　　　　　　　　　　　　　　ごそうさする　　　　　　　　　　　　　　,D 4.  NI ,
護送する　　　　　　　　　　　　　　　　ごそうする　　　　　　　　　　　　　　　,D 4.   I ,
ご相談する　　　　　　　　　　　　　　　ごそうだんする　　　　　　　　　　　　　,D 4.   M ,
こそぎ落とす　　　　　　　　　　　　　　こそぎおとす　　　　　　　　　　　　　　,D S.     ,
こそぐ　　　　　　　　　　　　　　　　　こそぐ　　　　　　　　　　　　　　　　　,D G.   I ,
ご足労する　　　　　　　　　　　　　　　ごそくろうする　　　　　　　　　　　　　,D 4.  NI ,
こそげる　　　　　　　　　　　　　　　　こそげる　　　　　　　　　　　　　　　　,D 1.     ,
子育てする　　　　　　　　　　　　　　　こそだてする　　　　　　　　　　　　　　,D 4.     ,
こぞる　　　　　　　　　　　　　　　　　こぞる　　　　　　　　　　　　　　　　　,D R.   M ,
枯損する　　　　　　　　　　　　　　　　こそんする　　　　　　　　　　　　　　　,D 4.     ,
答える　　　　　　　　　　　　　　　　　こたえる　　　　　　　　　　　　　　　　,D 1.   I ,
応える　　　　　　　　　　　　　　　　　こたえる　　　　　　　　　　　　　　　　,D 1.   I ,
こたえる　　　　　　　　　　　　　　　　こたえる　　　　　　　　　　　　　　　　,D 1.  NI ,
ご託を並べる　　　　　　　　　　　　　　ごたくをならべる　　　　　　　　　　　　,D 1.  N  ,
ごたつく　　　　　　　　　　　　　　　　ごたつく　　　　　　　　　　　　　　　　,D K.  NM ,
悟達する　　　　　　　　　　　　　　　　ごたつする　　　　　　　　　　　　　　　,D 4.     ,
誤脱する　　　　　　　　　　　　　　　　ごだつする　　　　　　　　　　　　　　　,D 4.   M ,
こだまする　　　　　　　　　　　　　　　こだまする　　　　　　　　　　　　　　　,D 4.     ,
こだわる　　　　　　　　　　　　　　　　こだわる　　　　　　　　　　　　　　　　,D R.  NI ,
誤断する　　　　　　　　　　　　　　　　ごだんする　　　　　　　　　　　　　　　,D 4.  NM ,
ごちそうする　　　　　　　　　　　　　　ごちそうする　　　　　　　　　　　　　　,D 4.  P  ,
固着する　　　　　　　　　　　　　　　　こちゃくする　　　　　　　　　　　　　　,D 4.   M ,
誇張する　　　　　　　　　　　　　　　　こちょうする　　　　　　　　　　　　　　,D 4.  NI ,
骨揚げする　　　　　　　　　　　　　　　こつあげする　　　　　　　　　　　　　　,D 4.   I ,
こづき回す　　　　　　　　　　　　　　　こづきまわす　　　　　　　　　　　　　　,D S.     ,
こづく　　　　　　　　　　　　　　　　　こづく　　　　　　　　　　　　　　　　　,D K.   I ,
刻苦する　　　　　　　　　　　　　　　　こっくする　　　　　　　　　　　　　　　,D 4.  NI ,
刻苦勉励する　　　　　　　　　　　　　　こっくべんれいする　　　　　　　　　　　,D 4.   I ,
ごっこ遊びする　　　　　　　　　　　　　ごっこあそびする　　　　　　　　　　　　,D 4.     ,
ご都合する　　　　　　　　　　　　　　　ごつごうする　　　　　　　　　　　　　　,D 4.   I ,
骨髄に徹す　　　　　　　　　　　　　　　こつずいにてっす　　　　　　　　　　　　,D S.  P  ,
骨折する　　　　　　　　　　　　　　　　こっせつする　　　　　　　　　　　　　　,D 4.   M ,
ごった返す　　　　　　　　　　　　　　　ごったがえす　　　　　　　　　　　　　　,D S.  NM ,
骨肉相食む　　　　　　　　　　　　　　　こつにくあいはむ　　　　　　　　　　　　,D M.  NI ,
骨拾いする　　　　　　　　　　　　　　　こつひろいする　　　　　　　　　　　　　,D 4.   I ,
固定する　　　　　　　　　　　　　　　　こていする　　　　　　　　　　　　　　　,D 4.   M ,
小手が利く　　　　　　　　　　　　　　　こてがきく　　　　　　　　　　　　　　　,D K.  P  ,
小手調べする　　　　　　　　　　　　　　こてしらべする　　　　　　　　　　　　　,D 4.   I ,
ごてつく　　　　　　　　　　　　　　　　ごてつく　　　　　　　　　　　　　　　　,D K.  NM ,
後手に回る　　　　　　　　　　　　　　　ごてにまわる　　　　　　　　　　　　　　,D R.  N  ,
ごてる　　　　　　　　　　　　　　　　　ごてる　　　　　　　　　　　　　　　　　,D 1.  NM ,
小手をかざす　　　　　　　　　　　　　　こてをかざす　　　　　　　　　　　　　　,D S.  N  ,
後手を引く　　　　　　　　　　　　　　　ごてをひく　　　　　　　　　　　　　　　,D K.  N  ,
誤伝する　　　　　　　　　　　　　　　　ごでんする　　　　　　　　　　　　　　　,D 4.  N  ,
誤動作する　　　　　　　　　　　　　　　ごどうさする　　　　　　　　　　　　　　,D 4.  NI ,
鼓動する　　　　　　　　　　　　　　　　こどうする　　　　　　　　　　　　　　　,D 4.   M ,
誤答する　　　　　　　　　　　　　　　　ごとうする　　　　　　　　　　　　　　　,D 4.  NM ,
事が荒立つ　　　　　　　　　　　　　　　ことがあらだつ　　　　　　　　　　　　　,D T.  N  ,
事欠く　　　　　　　　　　　　　　　　　ことかく　　　　　　　　　　　　　　　　,D K.  NM ,
事が運ぶ　　　　　　　　　　　　　　　　ことがはこぶ　　　　　　　　　　　　　　,D B.  P  ,
事変わる　　　　　　　　　　　　　　　　ことかわる　　　　　　　　　　　　　　　,D R.   M ,
こと切れる　　　　　　　　　　　　　　　こときれる　　　　　　　　　　　　　　　,D 1.  NM ,
誤読する　　　　　　　　　　　　　　　　ごどくする　　　　　　　　　　　　　　　,D 4.  NM ,
事ここに至る　　　　　　　　　　　　　　ことここにいたる　　　　　　　　　　　　,D R.  NM ,
事ここに及ぶ　　　　　　　　　　　　　　ことここにおよぶ　　　　　　　　　　　　,D B.  NM ,
事足りる　　　　　　　　　　　　　　　　ことたりる　　　　　　　　　　　　　　　,D 1.  PM ,
事足る　　　　　　　　　　　　　　　　　ことたる　　　　　　　　　　　　　　　　,D R.     ,
こと足る　　　　　　　　　　　　　　　　ことたる　　　　　　　　　　　　　　　　,D R.     ,
言付かる　　　　　　　　　　　　　　　　ことづかる　　　　　　　　　　　　　　　,D R.   M ,
言付けする　　　　　　　　　　　　　　　ことづけする　　　　　　　　　　　　　　,D 4.   I ,
言付ける　　　　　　　　　　　　　　　　ことづける　　　　　　　　　　　　　　　,D 1.   I ,
言づてする　　　　　　　　　　　　　　　ことづてする　　　　　　　　　　　　　　,D 4.   I ,
言づてる　　　　　　　　　　　　　　　　ことづてる　　　　　　　　　　　　　　　,D 1.   I ,
事なきを得る　　　　　　　　　　　　　　ことなきをえる　　　　　　　　　　　　　,D 1.  PM ,
異なる　　　　　　　　　　　　　　　　　ことなる　　　　　　　　　　　　　　　　,D R.   M ,
事に当たる　　　　　　　　　　　　　　　ことにあたる　　　　　　　　　　　　　　,D R.     ,
異にする　　　　　　　　　　　　　　　　ことにする　　　　　　　　　　　　　　　,D 5.     ,
言葉がけする　　　　　　　　　　　　　　ことばがけする　　　　　　　　　　　　　,D 4.     ,
言葉が過ぎる　　　　　　　　　　　　　　ことばがすぎる　　　　　　　　　　　　　,D 1.  N  ,
言葉が滑る　　　　　　　　　　　　　　　ことばがすべる　　　　　　　　　　　　　,D R.  N  ,
言葉が通じる　　　　　　　　　　　　　　ことばがつうじる　　　　　　　　　　　　,D 1.  P  ,
言葉がとがる　　　　　　　　　　　　　　ことばがとがる　　　　　　　　　　　　　,D R.  N  ,
言葉じりを捕らえる　　　　　　　　　　　ことばじりをとらえる　　　　　　　　　　,D 1.  N  ,
言葉に甘える　　　　　　　　　　　　　　ことばにあまえる　　　　　　　　　　　　,D 1.     ,
言葉に余る　　　　　　　　　　　　　　　ことばにあまる　　　　　　　　　　　　　,D R.     ,
言葉に詰まる　　　　　　　　　　　　　　ことばにつまる　　　　　　　　　　　　　,D R.  N  ,
言葉に針を持つ　　　　　　　　　　　　　ことばにはりをもつ　　　　　　　　　　　,D T.  N  ,
言葉を返す　　　　　　　　　　　　　　　ことばをかえす　　　　　　　　　　　　　,D S.     ,
言葉を飾る　　　　　　　　　　　　　　　ことばをかざる　　　　　　　　　　　　　,D R.     ,
言葉を交わす　　　　　　　　　　　　　　ことばをかわす　　　　　　　　　　　　　,D S.     ,
言葉を切る　　　　　　　　　　　　　　　ことばをきる　　　　　　　　　　　　　　,D R.     ,
言葉を継ぐ　　　　　　　　　　　　　　　ことばをつぐ　　　　　　　　　　　　　　,D G.     ,
言葉を尽くす　　　　　　　　　　　　　　ことばをつくす　　　　　　　　　　　　　,D S.     ,
言葉を慎む　　　　　　　　　　　　　　　ことばをつつしむ　　　　　　　　　　　　,D M.  P  ,
言葉を濁す　　　　　　　　　　　　　　　ことばをにごす　　　　　　　　　　　　　,D S.  N  ,
言葉をのむ　　　　　　　　　　　　　　　ことばをのむ　　　　　　　　　　　　　　,D M.     ,
言葉を吐く　　　　　　　　　　　　　　　ことばをはく　　　　　　　　　　　　　　,D K.  N  ,
言葉を挟む　　　　　　　　　　　　　　　ことばをはさむ　　　　　　　　　　　　　,D M.     ,
言葉を引き取る　　　　　　　　　　　　　ことばをひきとる　　　　　　　　　　　　,D R.     ,
言葉を卑くする　　　　　　　　　　　　　ことばをひくくする　　　　　　　　　　　,D 4.     ,
寿退社する　　　　　　　　　　　　　　　ことぶきたいしゃする　　　　　　　　　　,D 4.  PI ,
ことほぐ　　　　　　　　　　　　　　　　ことほぐ　　　　　　　　　　　　　　　　,D G.  PI ,
子供扱いする　　　　　　　　　　　　　　こどもあつかいする　　　　　　　　　　　,D 4.  NI ,
子供じみる　　　　　　　　　　　　　　　こどもじみる　　　　　　　　　　　　　　,D 1.  NM ,
事寄せる　　　　　　　　　　　　　　　　ことよせる　　　　　　　　　　　　　　　,D 1.  NM ,
ところ変わる　　　　　　　　　　　　　　ことろかわる　　　　　　　　　　　　　　,D R.     ,
断り書きする　　　　　　　　　　　　　　ことわりがきする　　　　　　　　　　　　,D 4.   I ,
断る　　　　　　　　　　　　　　　　　　ことわる　　　　　　　　　　　　　　　　,D R.  NI ,
事を荒立てる　　　　　　　　　　　　　　ことをあらだてる　　　　　　　　　　　　,D 1.  N  ,
事を急ぐ　　　　　　　　　　　　　　　　ことをいそぐ　　　　　　　　　　　　　　,D G.     ,
事を起こす　　　　　　　　　　　　　　　ことをおこす　　　　　　　　　　　　　　,D S.  N  ,
事をかく　　　　　　　　　　　　　　　　ことをかく　　　　　　　　　　　　　　　,D K.  N  ,
事を構える　　　　　　　　　　　　　　　ことをかまえる　　　　　　　　　　　　　,D 1.  N  ,
事を好む　　　　　　　　　　　　　　　　ことをこのむ　　　　　　　　　　　　　　,D M.     ,
事を運ぶ　　　　　　　　　　　　　　　　ことをはこぶ　　　　　　　　　　　　　　,D B.   I ,
事を分ける　　　　　　　　　　　　　　　ことをわける　　　　　　　　　　　　　　,D 1.  P  ,
子中を成す　　　　　　　　　　　　　　　こなかをなす　　　　　　　　　　　　　　,D S.     ,
こなす　　　　　　　　　　　　　　　　　こなす　　　　　　　　　　　　　　　　　,D S.   I ,
粉吹く　　　　　　　　　　　　　　　　　こなふく　　　　　　　　　　　　　　　　,D K.     ,
こなれる　　　　　　　　　　　　　　　　こなれる　　　　　　　　　　　　　　　　,D 1.   M ,
粉を引く　　　　　　　　　　　　　　　　こなをひく　　　　　　　　　　　　　　　,D K.     ,
粉を吹く　　　　　　　　　　　　　　　　こなをふく　　　　　　　　　　　　　　　,D K.     ,
悟入する　　　　　　　　　　　　　　　　ごにゅうする　　　　　　　　　　　　　　,D 4.     ,
誤認識する　　　　　　　　　　　　　　　ごにんしきする　　　　　　　　　　　　　,D 4.  NM ,
誤認する　　　　　　　　　　　　　　　　ごにんする　　　　　　　　　　　　　　　,D 4.  NM ,
こね返す　　　　　　　　　　　　　　　　こねかえす　　　　　　　　　　　　　　　,D S.     ,
捏ねくる　　　　　　　　　　　　　　　　こねくる　　　　　　　　　　　　　　　　,D R.  NI ,
捏ねる　　　　　　　　　　　　　　　　　こねる　　　　　　　　　　　　　　　　　,D 1.   I ,
ごねる　　　　　　　　　　　　　　　　　ごねる　　　　　　　　　　　　　　　　　,D 1.  NI ,
この期に及ぶ　　　　　　　　　　　　　　このごにおよぶ　　　　　　　　　　　　　,D B.     ,
好まれる　　　　　　　　　　　　　　　　このまれる　　　　　　　　　　　　　　　,D 1.  PM ,
好む　　　　　　　　　　　　　　　　　　このむ　　　　　　　　　　　　　　　　　,D M.  PM ,
故買する　　　　　　　　　　　　　　　　こばいする　　　　　　　　　　　　　　　,D 4.   I ,
誤配する　　　　　　　　　　　　　　　　ごはいする　　　　　　　　　　　　　　　,D 4.  NM ,
小ばかにする　　　　　　　　　　　　　　こばかにする　　　　　　　　　　　　　　,D 5.  N  ,
誤爆する　　　　　　　　　　　　　　　　ごばくする　　　　　　　　　　　　　　　,D 4.  N  ,
小鼻が膨らむ　　　　　　　　　　　　　　こばながふくらむ　　　　　　　　　　　　,D M.  N  ,
子離れする　　　　　　　　　　　　　　　こばなれする　　　　　　　　　　　　　　,D 4.   M ,
小鼻をうごめかす　　　　　　　　　　　　こばなをうごめかす　　　　　　　　　　　,D S.     ,
小鼻を膨らます　　　　　　　　　　　　　こばなをふくらます　　　　　　　　　　　,D S.  N  ,
小鼻を膨らませる　　　　　　　　　　　　こばなをふくらませる　　　　　　　　　　,D 1.  N  ,
拒む　　　　　　　　　　　　　　　　　　こばむ　　　　　　　　　　　　　　　　　,D M.  NI ,
小払いする　　　　　　　　　　　　　　　こばらいする　　　　　　　　　　　　　　,D 4.   I ,
後払いする　　　　　　　　　　　　　　　ごばらいする　　　　　　　　　　　　　　,D 4.   I ,
小腹がすく　　　　　　　　　　　　　　　こばらがすく　　　　　　　　　　　　　　,D K.     ,
小腹が立つ　　　　　　　　　　　　　　　こばらがたつ　　　　　　　　　　　　　　,D T.  N  ,
小腹が減る　　　　　　　　　　　　　　　こばらがへる　　　　　　　　　　　　　　,D R.     ,
小腹を立てる　　　　　　　　　　　　　　こばらをたてる　　　　　　　　　　　　　,D 1.  N  ,
ご飯炊きする　　　　　　　　　　　　　　ごはんたきする　　　　　　　　　　　　　,D 4.   I ,
碁盤割りする　　　　　　　　　　　　　　ごばんわりする　　　　　　　　　　　　　,D 4.   I ,
コピーする　　　　　　　　　　　　　　　こぴーする　　　　　　　　　　　　　　　,D 4.   I ,
コピーを取る　　　　　　　　　　　　　　こぴーをとる　　　　　　　　　　　　　　,D R.     ,
語尾が下がる　　　　　　　　　　　　　　ごびがさがる　　　　　　　　　　　　　　,D R.     ,
媚びへつらう　　　　　　　　　　　　　　こびへつらう　　　　　　　　　　　　　　,D W.  NI ,
こびり付く　　　　　　　　　　　　　　　こびりつく　　　　　　　　　　　　　　　,D K.  NM ,
こびる　　　　　　　　　　　　　　　　　こびる　　　　　　　　　　　　　　　　　,D 1.  NI ,
こびを売る　　　　　　　　　　　　　　　こびをうる　　　　　　　　　　　　　　　,D R.  N  ,
語尾を下げる　　　　　　　　　　　　　　ごびをさげる　　　　　　　　　　　　　　,D 1.     ,
ご無音する　　　　　　　　　　　　　　　ごぶいんする　　　　　　　　　　　　　　,D 4.   M ,
ご無沙汰する　　　　　　　　　　　　　　ごぶさたする　　　　　　　　　　　　　　,D 4.   M ,
こぶしを固める　　　　　　　　　　　　　こぶしをかためる　　　　　　　　　　　　,D 1.  N  ,
鼓舞する　　　　　　　　　　　　　　　　こぶする　　　　　　　　　　　　　　　　,D 4.  PI ,
誤聞する　　　　　　　　　　　　　　　　ごぶんする　　　　　　　　　　　　　　　,D 4.  N  ,
御幣を担ぐ　　　　　　　　　　　　　　　ごへいをかつぐ　　　　　　　　　　　　　,D G.     ,
戸別割りする　　　　　　　　　　　　　　こべつわりする　　　　　　　　　　　　　,D 4.   I ,
誤変換する　　　　　　　　　　　　　　　ごへんかんする　　　　　　　　　　　　　,D 4.  NM ,
ご返事する　　　　　　　　　　　　　　　ごへんじする　　　　　　　　　　　　　　,D 4.     ,
ご鞭撻する　　　　　　　　　　　　　　　ごべんたつする　　　　　　　　　　　　　,D 4.     ,
誤報する　　　　　　　　　　　　　　　　ごほうする　　　　　　　　　　　　　　　,D 4.  NM ,
個包装する　　　　　　　　　　　　　　　こほうそうする　　　　　　　　　　　　　,D 4.     ,
ごぼう抜きする　　　　　　　　　　　　　ごぼうぬきする　　　　　　　　　　　　　,D 4.     ,
ご放念する　　　　　　　　　　　　　　　ごほうねんする　　　　　　　　　　　　　,D 4.   M ,
こぼす　　　　　　　　　　　　　　　　　こぼす　　　　　　　　　　　　　　　　　,D S.   I ,
小骨が折れる　　　　　　　　　　　　　　こぼねがおれる　　　　　　　　　　　　　,D 1.  N  ,
こぼれ落ちる　　　　　　　　　　　　　　こぼれおちる　　　　　　　　　　　　　　,D 1.  N  ,
こぼれ出す　　　　　　　　　　　　　　　こぼれだす　　　　　　　　　　　　　　　,D S.  NM ,
こぼれ球を拾う　　　　　　　　　　　　　こぼれだまをひろう　　　　　　　　　　　,D W.     ,
こぼれ出る　　　　　　　　　　　　　　　こぼれでる　　　　　　　　　　　　　　　,D 1.  NM ,
こぼれる　　　　　　　　　　　　　　　　こぼれる　　　　　　　　　　　　　　　　,D 1.  NM ,
五本の指に入る　　　　　　　　　　　　　ごほんのゆびにはいる　　　　　　　　　　,D R.  P  ,
誤魔化す　　　　　　　　　　　　　　　　ごまかす　　　　　　　　　　　　　　　　,D S.  NI ,
細々する　　　　　　　　　　　　　　　　こまごまする　　　　　　　　　　　　　　,D 5.     ,
こましゃくれる　　　　　　　　　　　　　こましゃくれる　　　　　　　　　　　　　,D 1.   M ,
ゴマすりする　　　　　　　　　　　　　　ごますりする　　　　　　　　　　　　　　,D 4.  N  ,
こませる　　　　　　　　　　　　　　　　こませる　　　　　　　　　　　　　　　　,D 1.     ,
小またが切れ上がる　　　　　　　　　　　こまたがきれあがる　　　　　　　　　　　,D R.  P  ,
小またをすくう　　　　　　　　　　　　　こまたをすくう　　　　　　　　　　　　　,D W.  N  ,
こまっちゃくれる　　　　　　　　　　　　こまっちゃくれる　　　　　　　　　　　　,D 1.   M ,
駒得する　　　　　　　　　　　　　　　　こまどくする　　　　　　　　　　　　　　,D 4.     ,
こまぬく　　　　　　　　　　　　　　　　こまぬく　　　　　　　　　　　　　　　　,D K.   M ,
こまねく　　　　　　　　　　　　　　　　こまねく　　　　　　　　　　　　　　　　,D K.   M ,
小間物屋を開く　　　　　　　　　　　　　こまものやをひらく　　　　　　　　　　　,D K.     ,
小間物屋を広げる　　　　　　　　　　　　こまものやをひろげる　　　　　　　　　　,D 1.     ,
困り切る　　　　　　　　　　　　　　　　こまりきる　　　　　　　　　　　　　　　,D R.  N  ,
困り抜く　　　　　　　　　　　　　　　　こまりぬく　　　　　　　　　　　　　　　,D K.  N  ,
困り果てる　　　　　　　　　　　　　　　こまりはてる　　　　　　　　　　　　　　,D 1.  NM ,
困る　　　　　　　　　　　　　　　　　　こまる　　　　　　　　　　　　　　　　　,D R.  NM ,
小回りが利く　　　　　　　　　　　　　　こまわりがきく　　　　　　　　　　　　　,D K.  P  ,
小回りする　　　　　　　　　　　　　　　こまわりする　　　　　　　　　　　　　　,D 4.   I ,
駒を進める　　　　　　　　　　　　　　　こまをすすめる　　　　　　　　　　　　　,D 1.  P  ,
ゴマをする　　　　　　　　　　　　　　　ごまをする　　　　　　　　　　　　　　　,D R.  N  ,
込み合う　　　　　　　　　　　　　　　　こみあう　　　　　　　　　　　　　　　　,D W.   M ,
込上げる　　　　　　　　　　　　　　　　こみあげる　　　　　　　　　　　　　　　,D 1.     ,
込み上げる　　　　　　　　　　　　　　　こみあげる　　　　　　　　　　　　　　　,D 1.  NM ,
こみ上げる　　　　　　　　　　　　　　　こみあげる　　　　　　　　　　　　　　　,D 1.     ,
込み入る　　　　　　　　　　　　　　　　こみいる　　　　　　　　　　　　　　　　,D R.   M ,
コミットする　　　　　　　　　　　　　　こみっとする　　　　　　　　　　　　　　,D 4.   I ,
小耳に挟む　　　　　　　　　　　　　　　こみみにはさむ　　　　　　　　　　　　　,D M.     ,
コミュニケーションする　　　　　　　　　こみゅにけーしょんする　　　　　　　　　,D 4.     ,
混む　　　　　　　　　　　　　　　　　　こむ　　　　　　　　　　　　　　　　　　,D M.  NM ,
込む　　　　　　　　　　　　　　　　　　こむ　　　　　　　　　　　　　　　　　　,D M.   M ,
ご迷惑おかけする　　　　　　　　　　　　ごめいわくおかけする　　　　　　　　　　,D 5.     ,
米作りする　　　　　　　　　　　　　　　こめづくりする　　　　　　　　　　　　　,D 4.     ,
込める　　　　　　　　　　　　　　　　　こめる　　　　　　　　　　　　　　　　　,D 1.   I ,
米をつく　　　　　　　　　　　　　　　　こめをつく　　　　　　　　　　　　　　　,D K.   I ,
ご免被る　　　　　　　　　　　　　　　　ごめんこうむる　　　　　　　　　　　　　,D R.   M ,
コメントする　　　　　　　　　　　　　　こめんとする　　　　　　　　　　　　　　,D 4.   I ,
御免を被る　　　　　　　　　　　　　　　ごめんをこうむる　　　　　　　　　　　　,D R.  N  ,
ごめんを被る　　　　　　　　　　　　　　ごめんをこうむる　　　　　　　　　　　　,D R.  N  ,
小戻す　　　　　　　　　　　　　　　　　こもどす　　　　　　　　　　　　　　　　,D S.     ,
小戻りする　　　　　　　　　　　　　　　こもどりする　　　　　　　　　　　　　　,D 4.   M ,
子守する　　　　　　　　　　　　　　　　こもりする　　　　　　　　　　　　　　　,D 4.   I ,
こもる　　　　　　　　　　　　　　　　　こもる　　　　　　　　　　　　　　　　　,D R.   I ,
小屋が掛かる　　　　　　　　　　　　　　こやがかかる　　　　　　　　　　　　　　,D R.     ,
小屋がけする　　　　　　　　　　　　　　こやがけする　　　　　　　　　　　　　　,D 4.   I ,
誤訳する　　　　　　　　　　　　　　　　ごやくする　　　　　　　　　　　　　　　,D 4.  N  ,
肥やす　　　　　　　　　　　　　　　　　こやす　　　　　　　　　　　　　　　　　,D S.   I ,
小屋を掛ける　　　　　　　　　　　　　　こやをかける　　　　　　　　　　　　　　,D 1.     ,
小揺るぎする　　　　　　　　　　　　　　こゆるぎする　　　　　　　　　　　　　　,D 4.   M ,
小緩む　　　　　　　　　　　　　　　　　こゆるむ　　　　　　　　　　　　　　　　,D M.   M ,
ご用聞きする　　　　　　　　　　　　　　ごようききする　　　　　　　　　　　　　,D 4.   I ,
ご用心する　　　　　　　　　　　　　　　ごようじんする　　　　　　　　　　　　　,D 4.     ,
雇用する　　　　　　　　　　　　　　　　こようする　　　　　　　　　　　　　　　,D 4.   I ,
固溶する　　　　　　　　　　　　　　　　こようする　　　　　　　　　　　　　　　,D 4.     ,
誤用する　　　　　　　　　　　　　　　　ごようする　　　　　　　　　　　　　　　,D 4.  NM ,
ご用立てする　　　　　　　　　　　　　　ごようだてする　　　　　　　　　　　　　,D 4.   I ,
ご用命する　　　　　　　　　　　　　　　ごようめいする　　　　　　　　　　　　　,D 4.   M ,
ご来行する　　　　　　　　　　　　　　　ごらいこうする　　　　　　　　　　　　　,D 4.     ,
ご来示する　　　　　　　　　　　　　　　ごらいじする　　　　　　　　　　　　　　,D 4.   M ,
ご来臨する　　　　　　　　　　　　　　　ごらいりんする　　　　　　　　　　　　　,D 4.   M ,
こらえる　　　　　　　　　　　　　　　　こらえる　　　　　　　　　　　　　　　　,D 1.   I ,
懲らしめる　　　　　　　　　　　　　　　こらしめる　　　　　　　　　　　　　　　,D 1.   I ,
懲らす　　　　　　　　　　　　　　　　　こらす　　　　　　　　　　　　　　　　　,D S.   I ,
