散蓮華　　　　　　　　　　　　　　　　　ちりれんげ　　　　　　　　　　　　　　　,N 1.     ,
追体験　　　　　　　　　　　　　　　　　ついたいけん　　　　　　　　　　　　　　,N 1.     ,
付焼刃　　　　　　　　　　　　　　　　　つけやきば　　　　　　　　　　　　　　　,C  .  N  ,
爪楊枝　　　　　　　　　　　　　　　　　つまようじ　　　　　　　　　　　　　　　,N 1.     ,
低姿勢　　　　　　　　　　　　　　　　　ていしせい　　　　　　　　　　　　　　　,N 1.     ,
敵愾心　　　　　　　　　　　　　　　　　できがいしん　　　　　　　　　　　　　　,N 1.  N  ,
出来心　　　　　　　　　　　　　　　　　できごころ　　　　　　　　　　　　　　　,C  .  N  ,
出来高　　　　　　　　　　　　　　　　　できだか　　　　　　　　　　　　　　　　,N 1.     ,
徹底的　　　　　　　　　　　　　　　　　てっていてき　　　　　　　　　　　　　　,C  .     ,
鉄砲水　　　　　　　　　　　　　　　　　てっぽうみず　　　　　　　　　　　　　　,N 1.  P  ,
鉄面皮　　　　　　　　　　　　　　　　　てつめんぴ　　　　　　　　　　　　　　　,C  .  P  ,
出不精　　　　　　　　　　　　　　　　　でぶしょう　　　　　　　　　　　　　　　,C  .  N  ,
手不足　　　　　　　　　　　　　　　　　でぶそく　　　　　　　　　　　　　　　　,C  .  N  ,
天球儀　　　　　　　　　　　　　　　　　てんきゅうぎ　　　　　　　　　　　　　　,N 1.     ,
天水桶　　　　　　　　　　　　　　　　　てんすいおけ　　　　　　　　　　　　　　,N B.     ,
天地人　　　　　　　　　　　　　　　　　てんちじん　　　　　　　　　　　　　　　,N 1.     ,
天王山　　　　　　　　　　　　　　　　　てんのうざん　　　　　　　　　　　　　　,C  .     ,
投開票する　　　　　　　　　　　　　　　とうかいひょうする　　　　　　　　　　　,D 4.     ,
桃源郷　　　　　　　　　　　　　　　　　とうげんきょう　　　　　　　　　　　　　,N 1.  P  ,
当事者　　　　　　　　　　　　　　　　　とうじしゃ　　　　　　　　　　　　　　　,N 1.     ,
道祖神　　　　　　　　　　　　　　　　　どうそしん　　　　　　　　　　　　　　　,N 1.     ,
道中記　　　　　　　　　　　　　　　　　どうちゅうき　　　　　　　　　　　　　　,N 1.     ,
糖尿病　　　　　　　　　　　　　　　　　とうにょうびょう　　　　　　　　　　　　,N 1.  N  ,
逃避行　　　　　　　　　　　　　　　　　とうひこう　　　　　　　　　　　　　　　,N 1.     ,
透明性　　　　　　　　　　　　　　　　　とうめいせい　　　　　　　　　　　　　　,N  .  N  ,
登竜門　　　　　　　　　　　　　　　　　とうりゅうもん　　　　　　　　　　　　　,C  .  P  ,
度外視する　　　　　　　　　　　　　　　どがいしする　　　　　　　　　　　　　　,D 4.  N  ,
特産物　　　　　　　　　　　　　　　　　とくさんぶつ　　　　　　　　　　　　　　,N 1.     ,
独擅場　　　　　　　　　　　　　　　　　どくせんじよう　　　　　　　　　　　　　,N 1.  P  ,
独壇場　　　　　　　　　　　　　　　　　どくだんじょう　　　　　　　　　　　　　,N 1.  P  ,
土下座する　　　　　　　　　　　　　　　どげざする　　　　　　　　　　　　　　　,D 4.  NI ,
道産子　　　　　　　　　　　　　　　　　どさんこ　　　　　　　　　　　　　　　　,N 1.     ,
土性骨　　　　　　　　　　　　　　　　　どしょうぼね　　　　　　　　　　　　　　,N 1.  P  ,
土壇場　　　　　　　　　　　　　　　　　どたんば　　　　　　　　　　　　　　　　,N 1.     ,
土地勘　　　　　　　　　　　　　　　　　とちかん　　　　　　　　　　　　　　　　,N 1.  P  ,
突然死　　　　　　　　　　　　　　　　　とつぜんし　　　　　　　　　　　　　　　,N 1.  N  ,
突破口　　　　　　　　　　　　　　　　　とっぱこう　　　　　　　　　　　　　　　,N 1.     ,
突破力　　　　　　　　　　　　　　　　　とっぱりょく　　　　　　　　　　　　　　,N 1.     ,
土用波　　　　　　　　　　　　　　　　　どようなみ　　　　　　　　　　　　　　　,N 1.  N  ,
泥仕合する　　　　　　　　　　　　　　　どろじあいする　　　　　　　　　　　　　,D 4.  N  ,
鈍感力　　　　　　　　　　　　　　　　　どんかんりょく　　　　　　　　　　　　　,N 1.     ,
丼勘定する　　　　　　　　　　　　　　　どんぶりかんじょうする　　　　　　　　　,D 4.  N  ,
内視鏡　　　　　　　　　　　　　　　　　ないしきょう　　　　　　　　　　　　　　,N 1.     ,
長談義する　　　　　　　　　　　　　　　ながだんぎする　　　　　　　　　　　　　,D 4.  N  ,
長丁場　　　　　　　　　　　　　　　　　ながちょうば　　　　　　　　　　　　　　,C  .     ,
浪花節　　　　　　　　　　　　　　　　　なにわぶし　　　　　　　　　　　　　　　,N 1.     ,
生意気　　　　　　　　　　　　　　　　　なまいき　　　　　　　　　　　　　　　　,C  .  N  ,
生中継する　　　　　　　　　　　　　　　なまちゅうけいする　　　　　　　　　　　,D 4.     ,
生半可　　　　　　　　　　　　　　　　　なまはんか　　　　　　　　　　　　　　　,C  .  N  ,
生兵法　　　　　　　　　　　　　　　　　なまびょうほう　　　　　　　　　　　　　,N 1.  N  ,
生返事　　　　　　　　　　　　　　　　　なまへんじ　　　　　　　　　　　　　　　,N 1.  N  ,
並大抵　　　　　　　　　　　　　　　　　なみたいてい　　　　　　　　　　　　　　,C  .     ,
南大門　　　　　　　　　　　　　　　　　なんだいもん　　　　　　　　　　　　　　,N 1.     ,
二刀流　　　　　　　　　　　　　　　　　にとうりゅう　　　　　　　　　　　　　　,N 1.     ,
二枚舌　　　　　　　　　　　　　　　　　にまいじた　　　　　　　　　　　　　　　,C  .  N  ,
入出金　　　　　　　　　　　　　　　　　にゅうしゅきん　　　　　　　　　　　　　,N  .     ,
入退院　　　　　　　　　　　　　　　　　にゅうたいいん　　　　　　　　　　　　　,N  .     ,
人気薄　　　　　　　　　　　　　　　　　にんきうす　　　　　　　　　　　　　　　,C  .  N  ,
人気もの　　　　　　　　　　　　　　　　にんきもの　　　　　　　　　　　　　　　,C  .  P  ,
認知症　　　　　　　　　　　　　　　　　にんちしょう　　　　　　　　　　　　　　,N 1.  N  ,
熱中症　　　　　　　　　　　　　　　　　ねっちゅうしょう　　　　　　　　　　　　,N 1.  N  ,
根無草　　　　　　　　　　　　　　　　　ねなしぐさ　　　　　　　　　　　　　　　,N 1.     ,
寝不足　　　　　　　　　　　　　　　　　ねぶそく　　　　　　　　　　　　　　　　,C  .  N  ,
農閑期　　　　　　　　　　　　　　　　　のうかんき　　　　　　　　　　　　　　　,N 8.     ,
能天気　　　　　　　　　　　　　　　　　のうてんき　　　　　　　　　　　　　　　,N 1.  N  ,
脳年齢　　　　　　　　　　　　　　　　　のうねんれい　　　　　　　　　　　　　　,N 1.  N  ,
野放図　　　　　　　　　　　　　　　　　のほうず　　　　　　　　　　　　　　　　,C  .  N  ,
白眼視する　　　　　　　　　　　　　　　はくがんしする　　　　　　　　　　　　　,D 4.  N  ,
端境期　　　　　　　　　　　　　　　　　はざかいき　　　　　　　　　　　　　　　,N 8.     ,
裸一貫　　　　　　　　　　　　　　　　　はだかいっかん　　　　　　　　　　　　　,C  .     ,
二十歳　　　　　　　　　　　　　　　　　はたち　　　　　　　　　　　　　　　　　,N 1.     ,
二十日　　　　　　　　　　　　　　　　　はつか　　　　　　　　　　　　　　　　　,N 8.     ,
初体験　　　　　　　　　　　　　　　　　はつたいけん　　　　　　　　　　　　　　,N 1.     ,
初日の出　　　　　　　　　　　　　　　　はつひので　　　　　　　　　　　　　　　,N 1.     ,
破天荒　　　　　　　　　　　　　　　　　はてんこう　　　　　　　　　　　　　　　,C  .  N  ,
花言葉　　　　　　　　　　　　　　　　　はなことば　　　　　　　　　　　　　　　,N 1.     ,
破廉恥　　　　　　　　　　　　　　　　　はれんち　　　　　　　　　　　　　　　　,C  .  N  ,
半可通　　　　　　　　　　　　　　　　　はんかつう　　　　　　　　　　　　　　　,N 1.     ,
半導体　　　　　　　　　　　　　　　　　はんどうたい　　　　　　　　　　　　　　,N 1.     ,
般若湯　　　　　　　　　　　　　　　　　はんにゃとう　　　　　　　　　　　　　　,N 1.     ,
反比例　　　　　　　　　　　　　　　　　はんぴれい　　　　　　　　　　　　　　　,N 1.     ,
比較的　　　　　　　　　　　　　　　　　ひかくてき　　　　　　　　　　　　　　　,F T.     ,的がつく低度副詞
微生物　　　　　　　　　　　　　　　　　びせいぶつ　　　　　　　　　　　　　　　,N 1.     ,
左団扇　　　　　　　　　　　　　　　　　ひだりうちわ　　　　　　　　　　　　　　,C  .  P  ,
備蓄米　　　　　　　　　　　　　　　　　びちくまい　　　　　　　　　　　　　　　,N B.     ,
一工夫する　　　　　　　　　　　　　　　ひとくふうする　　　　　　　　　　　　　,D 4.     ,
人心地　　　　　　　　　　　　　　　　　ひとごこち　　　　　　　　　　　　　　　,N 1.     ,
他人事　　　　　　　　　　　　　　　　　ひとごと　　　　　　　　　　　　　　　　,C 1.     ,
一筋縄　　　　　　　　　　　　　　　　　ひとすじなわ　　　　　　　　　　　　　　,N 1.  P  ,
一粒種　　　　　　　　　　　　　　　　　ひとつぶだね　　　　　　　　　　　　　　,C  .     ,
一肌脱ぐ　　　　　　　　　　　　　　　　ひとはだぬぐ　　　　　　　　　　　　　　,D G.     ,
一悶着ある　　　　　　　　　　　　　　　ひともんちゃくある　　　　　　　　　　　,D R.  N  ,
檜舞台　　　　　　　　　　　　　　　　　ひのきぶたい　　　　　　　　　　　　　　,N  .  P  ,
飛蚊症　　　　　　　　　　　　　　　　　ひぶんしょう　　　　　　　　　　　　　　,N 1.  N  ,
百人力　　　　　　　　　　　　　　　　　ひゃくにんりき　　　　　　　　　　　　　,C  .  P  ,
百歩譲って　　　　　　　　　　　　　　　ひゃっぽゆずって　　　　　　　　　　　　,F Y.     ,
拍子木　　　　　　　　　　　　　　　　　ひょうしぎ　　　　　　　　　　　　　　　,N 1.     ,
日和見菌　　　　　　　　　　　　　　　　ひよりみきん　　　　　　　　　　　　　　,N B.     ,
日和見主義　　　　　　　　　　　　　　　ひよりみしゅぎ　　　　　　　　　　　　　,N 1.  N  ,
貧乏神　　　　　　　　　　　　　　　　　びんぼうがみ　　　　　　　　　　　　　　,N 1.  N  ,
貧民窟　　　　　　　　　　　　　　　　　びんみんくつ　　　　　　　　　　　　　　,N 7.  N  ,
不愛想　　　　　　　　　　　　　　　　　ぶあいそう　　　　　　　　　　　　　　　,C  .  N  ,
風物詩　　　　　　　　　　　　　　　　　ふうぶつし　　　　　　　　　　　　　　　,N 1.     ,
風来坊　　　　　　　　　　　　　　　　　ふうらいぼう　　　　　　　　　　　　　　,N 1.  N  ,
不得手　　　　　　　　　　　　　　　　　ふえて　　　　　　　　　　　　　　　　　,C  .  N  ,
不穏当　　　　　　　　　　　　　　　　　ふおんとう　　　　　　　　　　　　　　　,C  .  N  ,
不可解　　　　　　　　　　　　　　　　　ふかかい　　　　　　　　　　　　　　　　,C  .     ,
不可逆　　　　　　　　　　　　　　　　　ふかぎゃく　　　　　　　　　　　　　　　,N 1.     ,
不可欠　　　　　　　　　　　　　　　　　ふかけつ　　　　　　　　　　　　　　　　,C  .     ,
不格好　　　　　　　　　　　　　　　　　ぶかっこう　　　　　　　　　　　　　　　,C  .  N  ,
不可能　　　　　　　　　　　　　　　　　ふかのう　　　　　　　　　　　　　　　　,C  .  N  ,
不気味　　　　　　　　　　　　　　　　　ぶきみ　　　　　　　　　　　　　　　　　,C  .  N  ,
不器用　　　　　　　　　　　　　　　　　ぶきよう　　　　　　　　　　　　　　　　,C  .  N  ,
不義理　　　　　　　　　　　　　　　　　ふぎり　　　　　　　　　　　　　　　　　,C  .  N  ,
不謹慎　　　　　　　　　　　　　　　　　ふきんしん　　　　　　　　　　　　　　　,C  .  N  ,
伏流水　　　　　　　　　　　　　　　　　ふくりゅうすい　　　　　　　　　　　　　,N  .     ,
袋小路　　　　　　　　　　　　　　　　　ふくろこうじ　　　　　　　　　　　　　　,C  .  N  ,
不見識　　　　　　　　　　　　　　　　　ふけんしき　　　　　　　　　　　　　　　,C  .  N  ,
不合理　　　　　　　　　　　　　　　　　ふごうり　　　　　　　　　　　　　　　　,C  .  N  ,
不心得　　　　　　　　　　　　　　　　　ふこころえ　　　　　　　　　　　　　　　,C  .  N  ,
不細工　　　　　　　　　　　　　　　　　ぶさいく　　　　　　　　　　　　　　　　,C  .  N  ,
不作為　　　　　　　　　　　　　　　　　ふさくい　　　　　　　　　　　　　　　　,C  .  N  ,
無作法　　　　　　　　　　　　　　　　　ぶさほう　　　　　　　　　　　　　　　　,C  .  N  ,
不思議　　　　　　　　　　　　　　　　　ふしぎ　　　　　　　　　　　　　　　　　,C  .  N  ,
不躾　　　　　　　　　　　　　　　　　　ぶしつけ　　　　　　　　　　　　　　　　,C  .  P  ,
武士道　　　　　　　　　　　　　　　　　ぶしどう　　　　　　　　　　　　　　　　,N 1.  P  ,
不始末　　　　　　　　　　　　　　　　　ふしまつ　　　　　　　　　　　　　　　　,C  .  N  ,
不死身　　　　　　　　　　　　　　　　　ふじみ　　　　　　　　　　　　　　　　　,C  .  P  ,
不首尾　　　　　　　　　　　　　　　　　ふしゅび　　　　　　　　　　　　　　　　,C  .  N  ,
不審火　　　　　　　　　　　　　　　　　ふしんび　　　　　　　　　　　　　　　　,C  .  N  ,
舞台裏　　　　　　　　　　　　　　　　　ぶたいうら　　　　　　　　　　　　　　　,N  .  N  ,
不退転　　　　　　　　　　　　　　　　　ふたいてん　　　　　　　　　　　　　　　,C  .     ,
仏頂面　　　　　　　　　　　　　　　　　ぶっちょうづら　　　　　　　　　　　　　,N 1.  N  ,
不適切　　　　　　　　　　　　　　　　　ふてきせつ　　　　　　　　　　　　　　　,C  .  N  ,
筆不精　　　　　　　　　　　　　　　　　ふでぶしょう　　　　　　　　　　　　　　,C  .  N  ,
不透明　　　　　　　　　　　　　　　　　ふとうめい　　　　　　　　　　　　　　　,C  .  N  ,
風土記　　　　　　　　　　　　　　　　　ふどき　　　　　　　　　　　　　　　　　,N 1.     ,
懐具合　　　　　　　　　　　　　　　　　ふところぐあい　　　　　　　　　　　　　,N 1.     ,
不文律　　　　　　　　　　　　　　　　　ふぶんりつ　　　　　　　　　　　　　　　,N 1.     ,
不満足　　　　　　　　　　　　　　　　　ふまんぞく　　　　　　　　　　　　　　　,C  .  N  ,
冬将軍　　　　　　　　　　　　　　　　　ふゆしょうぐん　　　　　　　　　　　　　,N 1.     ,
不養生　　　　　　　　　　　　　　　　　ふようじょう　　　　　　　　　　　　　　,C  .  N  ,
不用心　　　　　　　　　　　　　　　　　ぶようじん　　　　　　　　　　　　　　　,C  .  N  ,
無礼講　　　　　　　　　　　　　　　　　ぶれいこう　　　　　　　　　　　　　　　,N 1.  N  ,
雰囲気　　　　　　　　　　　　　　　　　ふんいき　　　　　　　　　　　　　　　　,N 1.     ,
分相応　　　　　　　　　　　　　　　　　ぶんそうおう　　　　　　　　　　　　　　,C  .  P  ,
分度器　　　　　　　　　　　　　　　　　ぶんどき　　　　　　　　　　　　　　　　,N A.  P  ,
噴飯者　　　　　　　　　　　　　　　　　ふんぱんもの　　　　　　　　　　　　　　,N 1.  N  ,
別天地　　　　　　　　　　　　　　　　　べってんち　　　　　　　　　　　　　　　,N 1.     ,
への字　　　　　　　　　　　　　　　　　へのじ　　　　　　　　　　　　　　　　　,N 1.  N  ,
屁理屈　　　　　　　　　　　　　　　　　へりくつ　　　　　　　　　　　　　　　　,N 1.  N  ,
棒暗記する　　　　　　　　　　　　　　　ぼうあんきする　　　　　　　　　　　　　,D 4.  N  ,
暴風雨　　　　　　　　　　　　　　　　　ぼうふうう　　　　　　　　　　　　　　　,N B.  N  ,
暴風雪　　　　　　　　　　　　　　　　　ぼうふうせつ　　　　　　　　　　　　　　,N B.  N  ,
法令線　　　　　　　　　　　　　　　　　ほうれいせん　　　　　　　　　　　　　　,N B.     ,
北帰行　　　　　　　　　　　　　　　　　ほっきこう　　　　　　　　　　　　　　　,N 1.     ,
没交渉　　　　　　　　　　　　　　　　　ぼつこうしょう　　　　　　　　　　　　　,N 1.  N  ,
本調子　　　　　　　　　　　　　　　　　ほんちょうし　　　　　　　　　　　　　　,N 1.  P  ,
埋蔵金　　　　　　　　　　　　　　　　　まいぞうきん　　　　　　　　　　　　　　,N 1.  P  ,
前口上　　　　　　　　　　　　　　　　　まえこうじょう　　　　　　　　　　　　　,N 1.     ,
魔改造　　　　　　　　　　　　　　　　　まかいぞう　　　　　　　　　　　　　　　,N 1.     ,
真面目　　　　　　　　　　　　　　　　　まじめ　　　　　　　　　　　　　　　　　,C  .  P  ,
摩天楼　　　　　　　　　　　　　　　　　まてんろう　　　　　　　　　　　　　　　,N 1.     ,
愛弟子　　　　　　　　　　　　　　　　　まなでし　　　　　　　　　　　　　　　　,N 1.  P  ,
真人間　　　　　　　　　　　　　　　　　まにんげん　　　　　　　　　　　　　　　,N 1.  P  ,
眉唾物　　　　　　　　　　　　　　　　　まゆつばもの　　　　　　　　　　　　　　,C  .  N  ,
丸暗記する　　　　　　　　　　　　　　　まるあんきする　　　　　　　　　　　　　,D 4.     ,
万華鏡　　　　　　　　　　　　　　　　　まんげきょう　　　　　　　　　　　　　　,N 1.     ,
万年床　　　　　　　　　　　　　　　　　まんねんどこ　　　　　　　　　　　　　　,N 1.  N  ,
未開発　　　　　　　　　　　　　　　　　みかいはつ　　　　　　　　　　　　　　　,C  .     ,
未完成　　　　　　　　　　　　　　　　　みかんせい　　　　　　　　　　　　　　　,C  .     ,
身支度する　　　　　　　　　　　　　　　みじたくする　　　　　　　　　　　　　　,D 4.     ,
水商売　　　　　　　　　　　　　　　　　みずしょうばい　　　　　　　　　　　　　,N 1.     ,
未曾有　　　　　　　　　　　　　　　　　みぞう　　　　　　　　　　　　　　　　　,C  .     ,
三十日　　　　　　　　　　　　　　　　　みそか　　　　　　　　　　　　　　　　　,N 8.     ,
未知数　　　　　　　　　　　　　　　　　みちすう　　　　　　　　　　　　　　　　,N 1.  N  ,
身代金　　　　　　　　　　　　　　　　　みのしろきん　　　　　　　　　　　　　　,N 1.  N  ,
未発達　　　　　　　　　　　　　　　　　みはったつ　　　　　　　　　　　　　　　,C  .     ,
未亡人　　　　　　　　　　　　　　　　　みぼうじん　　　　　　　　　　　　　　　,N 1.  N  ,
耳学問　　　　　　　　　　　　　　　　　みみがくもん　　　　　　　　　　　　　　,N 1.  N  ,
無意識　　　　　　　　　　　　　　　　　むいしき　　　　　　　　　　　　　　　　,C  .     ,
無一文　　　　　　　　　　　　　　　　　むいちもん　　　　　　　　　　　　　　　,C  .  N  ,
無回転　　　　　　　　　　　　　　　　　むかいてん　　　　　　　　　　　　　　　,C  .     ,
無呼吸　　　　　　　　　　　　　　　　　むこきゅう　　　　　　　　　　　　　　　,N 1.     ,
無作為　　　　　　　　　　　　　　　　　むさくい　　　　　　　　　　　　　　　　,N 1.     ,
無邪気　　　　　　　　　　　　　　　　　むじゃき　　　　　　　　　　　　　　　　,C  .  P  ,
無趣味　　　　　　　　　　　　　　　　　むしゅみ　　　　　　　　　　　　　　　　,C  .  N  ,
矛盾点　　　　　　　　　　　　　　　　　むじゅんてん　　　　　　　　　　　　　　,N 1.     ,
無尽蔵　　　　　　　　　　　　　　　　　むじんぞう　　　　　　　　　　　　　　　,C  .  P  ,
無神論　　　　　　　　　　　　　　　　　むしんろん　　　　　　　　　　　　　　　,N 1.     ,
無造作　　　　　　　　　　　　　　　　　むぞうさ　　　　　　　　　　　　　　　　,C  .  N  ,
無駄足　　　　　　　　　　　　　　　　　むだあし　　　　　　　　　　　　　　　　,N 1.  N  ,
無駄骨　　　　　　　　　　　　　　　　　むだぼね　　　　　　　　　　　　　　　　,C  .  N  ,
無駄飯　　　　　　　　　　　　　　　　　むだめし　　　　　　　　　　　　　　　　,C  .  N  ,
無担保　　　　　　　　　　　　　　　　　むたんぽ　　　　　　　　　　　　　　　　,C  .  N  ,
無頓着　　　　　　　　　　　　　　　　　むとんちゃく　　　　　　　　　　　　　　,C  .  N  ,
胸算用する　　　　　　　　　　　　　　　むなざんようする　　　　　　　　　　　　,D 4.     ,
無分別　　　　　　　　　　　　　　　　　むふんべつ　　　　　　　　　　　　　　　,C  .  N  ,
村八分　　　　　　　　　　　　　　　　　むらはちぶ　　　　　　　　　　　　　　　,C  .  N  ,
目一杯　　　　　　　　　　　　　　　　　めいっぱい　　　　　　　　　　　　　　　,N 1.     ,
目分量　　　　　　　　　　　　　　　　　めぶんりょう　　　　　　　　　　　　　　,C  .     ,
面倒見　　　　　　　　　　　　　　　　　めんどうみ　　　　　　　　　　　　　　　,N 1.  P  ,
門外漢　　　　　　　　　　　　　　　　　もんがいかん　　　　　　　　　　　　　　,N 1.  N  ,
問題児　　　　　　　　　　　　　　　　　もんだいじ　　　　　　　　　　　　　　　,C  .  N  ,
問題視する　　　　　　　　　　　　　　　もんだいしする　　　　　　　　　　　　　,D 4.  N  ,
八百長　　　　　　　　　　　　　　　　　やおちょう　　　　　　　　　　　　　　　,N 1.  N  ,
疫病神　　　　　　　　　　　　　　　　　やくびょうがみ　　　　　　　　　　　　　,N 1.  N  ,
役不足　　　　　　　　　　　　　　　　　やくぶそく　　　　　　　　　　　　　　　,C  .  N  ,
野次馬　　　　　　　　　　　　　　　　　やじうま　　　　　　　　　　　　　　　　,N 1.  N  ,
夜想曲　　　　　　　　　　　　　　　　　やそうきょく　　　　　　　　　　　　　　,N 1.     ,
屋台骨　　　　　　　　　　　　　　　　　やたいぼね　　　　　　　　　　　　　　　,N 1.     ,
野蛮人　　　　　　　　　　　　　　　　　やばんじん　　　　　　　　　　　　　　　,N 1.  N  ,アクセントに注意
山津波　　　　　　　　　　　　　　　　　やまつなみ　　　　　　　　　　　　　　　,N 1.  N  ,
大和魂　　　　　　　　　　　　　　　　　やまとだましい　　　　　　　　　　　　　,N 1.  P  ,
唯心論　　　　　　　　　　　　　　　　　ゆいしんろん　　　　　　　　　　　　　　,N 1.     ,
唯物論　　　　　　　　　　　　　　　　　ゆいぶつろん　　　　　　　　　　　　　　,N 1.     ,
有意義　　　　　　　　　　　　　　　　　ゆういぎ　　　　　　　　　　　　　　　　,N 1.  P  ,
夢心地　　　　　　　　　　　　　　　　　ゆめごこち　　　　　　　　　　　　　　　,N 1.  P  ,
用心棒　　　　　　　　　　　　　　　　　ようじんぼう　　　　　　　　　　　　　　,N 1.     ,
要注意　　　　　　　　　　　　　　　　　ようちゅうい　　　　　　　　　　　　　　,C 1.  N  ,
翌々日　　　　　　　　　　　　　　　　　よくよくじつ　　　　　　　　　　　　　　,N 8.     ,
横恋慕する　　　　　　　　　　　　　　　よこれんぼする　　　　　　　　　　　　　,D 4.  N  ,
予想外　　　　　　　　　　　　　　　　　よそうがい　　　　　　　　　　　　　　　,C  .     ,
預貯金　　　　　　　　　　　　　　　　　よちょきん　　　　　　　　　　　　　　　,N 1.  P  ,
楽天地　　　　　　　　　　　　　　　　　らくてんち　　　　　　　　　　　　　　　,N 1.  P  ,
乱高下　　　　　　　　　　　　　　　　　らんこうげ　　　　　　　　　　　　　　　,N 1.  N  ,読み方を間違える
離岸流　　　　　　　　　　　　　　　　　りがんりゅう　　　　　　　　　　　　　　,N  .     ,
離着陸　　　　　　　　　　　　　　　　　りちゃくりく　　　　　　　　　　　　　　,N  .     ,
理不尽　　　　　　　　　　　　　　　　　りふじん　　　　　　　　　　　　　　　　,C  .  N  ,
両極端　　　　　　　　　　　　　　　　　りょうきょくたん　　　　　　　　　　　　,C  .  N  ,
両成敗　　　　　　　　　　　　　　　　　りょうせいばい　　　　　　　　　　　　　,N 1.     ,
類人猿　　　　　　　　　　　　　　　　　るいじんえん　　　　　　　　　　　　　　,N 1.     ,
冷血漢　　　　　　　　　　　　　　　　　れいけつかん　　　　　　　　　　　　　　,N 1.  N  ,
錬金術　　　　　　　　　　　　　　　　　れんきんじゅつ　　　　　　　　　　　　　,N 1.     ,
老人力　　　　　　　　　　　　　　　　　ろうじんりょく　　　　　　　　　　　　　,N 1.  P  ,
老婆心　　　　　　　　　　　　　　　　　ろうばしん　　　　　　　　　　　　　　　,N 1.  P  ,
和漢洋　　　　　　　　　　　　　　　　　わかんよう　　　　　　　　　　　　　　　,C  .     ,
