大袈裟　　　　　　　　　　　　　　　　　おおげさ　　　　　　　　　　　　　　　　,C 1.  N  ,
大御所　　　　　　　　　　　　　　　　　おおごしょ　　　　　　　　　　　　　　　,C  .  P  ,
大雑把　　　　　　　　　　　　　　　　　おおざっぱ　　　　　　　　　　　　　　　,C  .  N  ,
大時代　　　　　　　　　　　　　　　　　おおじだい　　　　　　　　　　　　　　　,C  .  N  ,
大芝居　　　　　　　　　　　　　　　　　おおしばい　　　　　　　　　　　　　　　,N  .     ,
大立者　　　　　　　　　　　　　　　　　おおだてもの　　　　　　　　　　　　　　,C  .  P  ,
大舞台　　　　　　　　　　　　　　　　　おおぶたい　　　　　　　　　　　　　　　,N 1.     ,
奥座敷　　　　　　　　　　　　　　　　　おくざしき　　　　　　　　　　　　　　　,N 1.  P  ,
幼馴染　　　　　　　　　　　　　　　　　おさななじみ　　　　　　　　　　　　　　,N 1.     ,
音沙汰　　　　　　　　　　　　　　　　　おとさた　　　　　　　　　　　　　　　　,N 1.     ,
御百度　　　　　　　　　　　　　　　　　おひゃくど　　　　　　　　　　　　　　　,N 1.     ,
表看板　　　　　　　　　　　　　　　　　おもてかんばん　　　　　　　　　　　　　,N 1.     ,
表沙汰　　　　　　　　　　　　　　　　　おもてざた　　　　　　　　　　　　　　　,C  .     ,
表舞台　　　　　　　　　　　　　　　　　おもてぶたい　　　　　　　　　　　　　　,N  .     ,
思惑買い　　　　　　　　　　　　　　　　おもわくがい　　　　　　　　　　　　　　,N 1.     ,
親分肌　　　　　　　　　　　　　　　　　おやぶんはだ　　　　　　　　　　　　　　,N 1.  P  ,
折紙付　　　　　　　　　　　　　　　　　おりがみつき　　　　　　　　　　　　　　,N 1.  P  ,
温度差　　　　　　　　　　　　　　　　　おんどさ　　　　　　　　　　　　　　　　,N 1.     ,取り組み
怪気炎　　　　　　　　　　　　　　　　　かいきえん　　　　　　　　　　　　　　　,N 1.  P  ,
凱旋門　　　　　　　　　　　　　　　　　がいせんもん　　　　　　　　　　　　　　,N 1.     ,
灰白色　　　　　　　　　　　　　　　　　かいはくしょく　　　　　　　　　　　　　,N 1.  P  ,
怪文書　　　　　　　　　　　　　　　　　かいぶんしょ　　　　　　　　　　　　　　,N 1.  N  ,
核家族　　　　　　　　　　　　　　　　　かくかぞく　　　　　　　　　　　　　　　,N 1.     ,
陰日向　　　　　　　　　　　　　　　　　かげひなた　　　　　　　　　　　　　　　,N 1.  N  ,
影法師　　　　　　　　　　　　　　　　　かげぼうし　　　　　　　　　　　　　　　,N 1.     ,
風見鶏　　　　　　　　　　　　　　　　　かざみどり　　　　　　　　　　　　　　　,N 1.     ,
風台風　　　　　　　　　　　　　　　　　かぜたいふう　　　　　　　　　　　　　　,N B.     ,
河川敷　　　　　　　　　　　　　　　　　かせんじき　　　　　　　　　　　　　　　,N 7.     ,
片意地　　　　　　　　　　　　　　　　　かたいじ　　　　　　　　　　　　　　　　,N 1.     ,
