狂気の沙汰　　　　　　　　　　　　　　　きょうきのさた　　　　　　　　　　　　　,C  .  N  ,
議論の俎上　　　　　　　　　　　　　　　ぎろんのそじょう　　　　　　　　　　　　,N 1.  P  ,
議論の的　　　　　　　　　　　　　　　　ぎろんのまと　　　　　　　　　　　　　　,N 1.  P  ,
疑惑の目　　　　　　　　　　　　　　　　ぎわくのめ　　　　　　　　　　　　　　　,C  .  N  ,
苦渋の決断　　　　　　　　　　　　　　　くじゅうのけつだん　　　　　　　　　　　,N 1.  N  ,
苦渋の選択　　　　　　　　　　　　　　　くじゅうのせんたく　　　　　　　　　　　,N 1.  N  ,
苦肉の策　　　　　　　　　　　　　　　　くにくのさく　　　　　　　　　　　　　　,C  .  N  ,
クモの糸　　　　　　　　　　　　　　　　くものいと　　　　　　　　　　　　　　　,N  .  P  ,
蜘蛛の巣　　　　　　　　　　　　　　　　くものす　　　　　　　　　　　　　　　　,N B.     ,
蛍雪の功　　　　　　　　　　　　　　　　けいせつのこう　　　　　　　　　　　　　,C  .  P  ,
怪我の功名　　　　　　　　　　　　　　　けがのこうみょう　　　　　　　　　　　　,C  .  P  ,
謙譲の美徳　　　　　　　　　　　　　　　けんじょうのびとく　　　　　　　　　　　,C  .  P  ,
権力の座　　　　　　　　　　　　　　　　けんりょくのざ　　　　　　　　　　　　　,N  .     ,
恋の予感　　　　　　　　　　　　　　　　こいのよかん　　　　　　　　　　　　　　,N  .     ,
幸甚の至り　　　　　　　　　　　　　　　こうじんのいたり　　　　　　　　　　　　,C  .  P  ,
心の内　　　　　　　　　　　　　　　　　こころのうち　　　　　　　　　　　　　　,N  .     ,
言葉の綾　　　　　　　　　　　　　　　　ことばのあや　　　　　　　　　　　　　　,N  .     ,
言葉の壁　　　　　　　　　　　　　　　　ことばのかべ　　　　　　　　　　　　　　,N  .     ,
言葉の暴力　　　　　　　　　　　　　　　ことばのぼうりょく　　　　　　　　　　　,N  .  N  ,
木の葉　　　　　　　　　　　　　　　　　このは　　　　　　　　　　　　　　　　　,N  .     ,
ごはんのお供　　　　　　　　　　　　　　ごはんのおとも　　　　　　　　　　　　　,N B.  N  ,
コリオリの力　　　　　　　　　　　　　　こりおりのちから　　　　　　　　　　　　,N  .     ,
渾身の力　　　　　　　　　　　　　　　　こんしんのちから　　　　　　　　　　　　,N 1.     ,
細心の注意　　　　　　　　　　　　　　　さいしんのちゅうい　　　　　　　　　　　,N 1.  P  ,
座右の銘　　　　　　　　　　　　　　　　ざゆうのめい　　　　　　　　　　　　　　,N 1.  P  ,
慚愧の念　　　　　　　　　　　　　　　　ざんきのねん　　　　　　　　　　　　　　,N  .  N  ,
三途の川　　　　　　　　　　　　　　　　さんずのかわ　　　　　　　　　　　　　　,N  .  N  ,
地獄の沙汰　　　　　　　　　　　　　　　じごくのさた　　　　　　　　　　　　　　,C  .  N  ,
自責の念　　　　　　　　　　　　　　　　じせきのねん　　　　　　　　　　　　　　,N 1.  N  ,
時代の寵児　　　　　　　　　　　　　　　じだいのちょうじ　　　　　　　　　　　　,C 4.  P  ,
至難の業　　　　　　　　　　　　　　　　しなんのわざ　　　　　　　　　　　　　　,C  .  N  ,
至福の時　　　　　　　　　　　　　　　　しふくのとき　　　　　　　　　　　　　　,C  .  P  ,
自分へのご褒美　　　　　　　　　　　　　じぶんへのごほうび　　　　　　　　　　　,C  .  P  ,
社長の椅子　　　　　　　　　　　　　　　しゃちょうのいす　　　　　　　　　　　　,N  .  P  ,
出藍の誉れ　　　　　　　　　　　　　　　しゅつらんのほまれ　　　　　　　　　　　,C  .  P  ,
正気の沙汰　　　　　　　　　　　　　　　しょうきのさた　　　　　　　　　　　　　,C  .  P  ,
序の口　　　　　　　　　　　　　　　　　じょのくち　　　　　　　　　　　　　　　,C  .     ,
白羽の矢　　　　　　　　　　　　　　　　しらはのや　　　　　　　　　　　　　　　,N  .     ,
調べごと　　　　　　　　　　　　　　　　しらべごと　　　　　　　　　　　　　　　,N  .     ,
人生の墓場　　　　　　　　　　　　　　　じんせいのはかば　　　　　　　　　　　　,C  .     ,結婚
心配の種　　　　　　　　　　　　　　　　しんぱいのたね　　　　　　　　　　　　　,N 1.  N  ,
雀の涙　　　　　　　　　　　　　　　　　すずめのなみだ　　　　　　　　　　　　　,C  .  N  ,
頭痛の種　　　　　　　　　　　　　　　　ずつうのたね　　　　　　　　　　　　　　,N 1.  N  ,
青天の霹靂　　　　　　　　　　　　　　　せいたんのへきれき　　　　　　　　　　　,N  .  P  ,
関の山　　　　　　　　　　　　　　　　　せきのやま　　　　　　　　　　　　　　　,C  .  N  ,
先見の明　　　　　　　　　　　　　　　　せんけんのめい　　　　　　　　　　　　　,N  .  P  ,
先人の知恵　　　　　　　　　　　　　　　せんじんのちえ　　　　　　　　　　　　　,N  .  P  ,
袖の下　　　　　　　　　　　　　　　　　そでのした　　　　　　　　　　　　　　　,N 1.  N  ,
その後　　　　　　　　　　　　　　　　　そのご　　　　　　　　　　　　　　　　　,N 8.     ,
高嶺の花　　　　　　　　　　　　　　　　たかねのはな　　　　　　　　　　　　　　,N 1.  N  ,
鷹の爪　　　　　　　　　　　　　　　　　たかのつめ　　　　　　　　　　　　　　　,N B.     ,
匠の技　　　　　　　　　　　　　　　　　たくみのわざ　　　　　　　　　　　　　　,N 1.  P  ,
頼みの綱　　　　　　　　　　　　　　　　たのみのつな　　　　　　　　　　　　　　,N  .     ,
食べ物　　　　　　　　　　　　　　　　　たべもの　　　　　　　　　　　　　　　　,N  .     ,
タンスの肥やし　　　　　　　　　　　　　たんすのこやし　　　　　　　　　　　　　,C  .  N  ,
断腸の思い　　　　　　　　　　　　　　　だんちょうのおもい　　　　　　　　　　　,C  .  N  ,
茶の間　　　　　　　　　　　　　　　　　ちゃのま　　　　　　　　　　　　　　　　,N  .     ,
長蛇の列　　　　　　　　　　　　　　　　ちょうだのれつ　　　　　　　　　　　　　,N  .  N  ,
痛恨の極み　　　　　　　　　　　　　　　つうこんのきわみ　　　　　　　　　　　　,C  .  N  ,
月とすっぽん　　　　　　　　　　　　　　つきとすっぽん　　　　　　　　　　　　　,C  .     ,
漬物　　　　　　　　　　　　　　　　　　つけもの　　　　　　　　　　　　　　　　,N  .     ,
鉄壁の守り　　　　　　　　　　　　　　　てっぺきのまもり　　　　　　　　　　　　,N  .     ,
手の内　　　　　　　　　　　　　　　　　てのうち　　　　　　　　　　　　　　　　,N  .     ,
手のひら　　　　　　　　　　　　　　　　てのひら　　　　　　　　　　　　　　　　,N  .     ,
伝家の宝刀　　　　　　　　　　　　　　　でんかのほうとう　　　　　　　　　　　　,N 1.  P  ,
天の声　　　　　　　　　　　　　　　　　てんのこえ　　　　　　　　　　　　　　　,N  .     ,
天賦の才　　　　　　　　　　　　　　　　てんぷのさい　　　　　　　　　　　　　　,N  .  P  ,
トカゲの尻尾　　　　　　　　　　　　　　とかげのしっぽ　　　　　　　　　　　　　,N  .     ,
時の人　　　　　　　　　　　　　　　　　ときのひと　　　　　　　　　　　　　　　,N 4.  P  ,
年の功　　　　　　　　　　　　　　　　　としのこう　　　　　　　　　　　　　　　,C  .  P  ,
年の差婚　　　　　　　　　　　　　　　　としのさこん　　　　　　　　　　　　　　,N 1.     ,
年の瀬　　　　　　　　　　　　　　　　　としのせ　　　　　　　　　　　　　　　　,N 8.     ,
砥の粉　　　　　　　　　　　　　　　　　とのこ　　　　　　　　　　　　　　　　　,N B.     ,
